case,method,metric,seed,value
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43103,17.148000107999998
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43104,14.644000115999999
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43105,17.456000112
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43106,17.514000108
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43107,14.92800012
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43108,17.7540001
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43109,15.262000124000002
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43110,15.400000136
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43111,12.784000136
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43112,16.15800012
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43113,19.87400008
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43114,13.044000148
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43115,14.564000135999999
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43116,13.490000148
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43117,12.644000152
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43118,13.464000144000002
"Barabási–Albert
(128 nodes)",Q-PASS,mean_censored_latency_ps,43119,16.910000112
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43000,16.76833343666667
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43001,18.08833343
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43002,17.195000096666668
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43003,16.655000083333334
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43004,17.016666756666666
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43005,18.29500008666667
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43006,17.731666756666666
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43007,21.20166675333333
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43008,18.760000126666668
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43009,18.33166676
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43010,17.47166676333333
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43011,19.220000116666668
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43012,19.71833343333333
