arrival_batch_size,method,metric,seed,value
10,Q-PASS,mean_censored_latency_ps,46012,21.31900009
10,Q-PASS,mean_censored_latency_ps,46013,21.218000092
10,Q-PASS,mean_censored_latency_ps,46014,23.668000074000002
10,Q-PASS,mean_censored_latency_ps,46015,25.206000068
10,Q-PASS,mean_censored_latency_ps,46016,23.149000088
10,Q-PASS,mean_censored_latency_ps,46017,21.941000082
10,Q-PASS,mean_censored_latency_ps,46018,24.377000078000002
10,Q-PASS,mean_censored_latency_ps,46019,23.069000088000003
15,Q-PASS,mean_censored_latency_ps,46000,25.49400006133333
15,Q-PASS,mean_censored_latency_ps,46001,25.8533334
15,Q-PASS,mean_censored_latency_ps,46002,24.854666736
15,Q-PASS,mean_censored_latency_ps,46003,28.087333382666667
15,Q-PASS,mean_censored_latency_ps,46004,25.175333405333333
15,Q-PASS,mean_censored_latency_ps,46005,25.902666729333333
15,Q-PASS,mean_censored_latency_ps,46006,26.581333388
15,Q-PASS,mean_censored_latency_ps,46007,25.932666726666664
15,Q-PASS,mean_censored_latency_ps,46008,26.223333394666668
15,Q-PASS,mean_censored_latency_ps,46009,26.680000058666668
15,Q-PASS,mean_censored_latency_ps,46010,25.264666724
15,Q-PASS,mean_censored_latency_ps,46011,25.24533340266667
15,Q-PASS,mean_censored_latency_ps,46012,24.648000068
15,Q-PASS,mean_censored_latency_ps,46013,23.549333409333332
15,Q-PASS,mean_censored_latency_ps,46014,25.157333401333332
15,Q-PASS,mean_censored_latency_ps,46015,26.361333394666666
15,Q-PASS,mean_censored_latency_ps,46016,26.481333394666667
15,Q-PASS,mean_censored_latency_ps,46017,24.379333405333334
15,Q-PASS,mean_censored_latency_ps,46018,26.16400006
15,Q-PASS,mean_censored_latency_ps,46019,25.40000005733333
5,Greedy,mean_censored_latency_ps,46000,18.408000112
5,Greedy,mean_censored_latency_ps,46001,18.974000108
5,Greedy,mean_censored_latency_ps,46002,19.162000108
5,Greedy,mean_censored_latency_ps,46003,20.424000067999998
5,Greedy,mean_censored_latency_ps,46004,17.690000124
5,Greedy,mean_censored_latency_ps,46005,13.286000128
5,Greedy,mean_censored_latency_ps,46006,19.522000104
5,Greedy,mean_censored_latency_ps,46007,17.622000128
5,Greedy,mean_censored_latency_ps,46008,18.832000092
5,Greedy,mean_censored_latency_ps,46009,22.334000091999997
5,Greedy,mean_censored_latency_ps,46010,20.740000088
5,Greedy,mean_censored_latency_ps,46011,19.2080001
5,Greedy,mean_censored_latency_ps,46012,19.6320001
5,Greedy,mean_censored_latency_ps,46013,17.462000107999998
5,Greedy,mean_censored_latency_ps,46014,17.746000104
5,Greedy,mean_censored_latency_ps,46015,21.38400008
5,Greedy,mean_censored_latency_ps,46016,20.224000095999997
5,Greedy,mean_censored_latency_ps,46017,21.080000088
5,Greedy,mean_censored_latency_ps,46018,22.788000076
5,Greedy,mean_censored_latency_ps,46019,21.59800008
10,Greedy,mean_censored_latency_ps,46000,23.559000078
10,Greedy,mean_censored_latency_ps,46001,21.838000091999998
10,Greedy,mean_censored_latency_ps,46002,23.430000088000003
10,Greedy,mean_censored_latency_ps,46003,25.396000072
10,Greedy,mean_censored_latency_ps,46004,22.460000095999998
10,Greedy,mean_censored_latency_ps,46005,24.94800007
10,Greedy,mean_censored_latency_ps,46006,23.814000076
10,Greedy,mean_censored_latency_ps,46007,23.782000072
10,Greedy,mean_censored_latency_ps,46008,24.406000078
10,Greedy,mean_censored_latency_ps,46009,21.103000085999998
10,Greedy,mean_censored_latency_ps,46010,20.369000102
