case,method,metric,seed,value
"Barabási–Albert
(128 nodes)",Greedy,completed_requests,43110,0.7
"Barabási–Albert
(128 nodes)",Greedy,completed_requests,43111,0.78
"Barabási–Albert
(128 nodes)",Greedy,completed_requests,43112,0.82
"Barabási–Albert
(128 nodes)",Greedy,completed_requests,43113,0.56
"Barabási–Albert
(128 nodes)",Greedy,completed_requests,43114,0.68
"Barabási–Albert
(128 nodes)",Greedy,completed_requests,43115,0.54
"Barabási–Albert
(128 nodes)",Greedy,completed_requests,43116,0.76
"Barabási–Albert
(128 nodes)",Greedy,completed_requests,43117,0.66
"Barabási–Albert
(128 nodes)",Greedy,completed_requests,43118,0.64
"Barabási–Albert
(128 nodes)",Greedy,completed_requests,43119,0.68
