case,reference,baseline,metric,reference_mean,baseline_mean,reference_advantage_mean,ci95_low,ci95_high,paired_randomization_p,reference_wins,ties,baseline_wins
B2,gnn,greedy,completed_requests,13.7,13.05,0.65,-0.3,1.55,0.23553822308884556,12,2,6
B2,gnn,greedy,mean_censored_latency_ps,616375004.5,677000004.975,60625000.475,25837500.55,95437499.675,0.00359982000899955,14,0,6
B2,gnn,greedy,mean_decision_seconds,0.23142435785599186,0.039890002860088966,-0.1915343549959029,-0.20303889642818831,-0.18054971141807202,4.999750012499375e-05,0,0,20
B2,gnn,greedy,p95_decision_seconds,0.41709508500644005,0.07240946999518201,-0.34468561501125805,-0.3642119250027463,-0.3248672850080766,4.999750012499375e-05,0,0,20
B2,gnn,greedy,mean_planner_seconds,0.04557315083123588,0.03922413975856866,-0.006349011072667228,-0.012949490004740213,-0.0004774221468583823,0.05749712514374281,6,0,14
B2,gnn,milp,completed_requests,13.7,15.05,-1.35,-2.25,-0.4,0.01784910754462277,3,3,14
B2,gnn,milp,mean_censored_latency_ps,616375004.5,581750004.275,-34625000.225,-71187500.325,3562499.4,0.09624518774061297,6,0,14
B2,gnn,milp,mean_decision_seconds,0.23142435785599186,0.8108808149999407,0.5794564571439488,0.46101003285397646,0.7161891399982518,4.999750012499375e-05,20,0,0
B2,gnn,milp,p95_decision_seconds,0.41709508500644005,2.581153175001964,2.1640580899955237,1.6275947249843739,2.81812221998116,4.999750012499375e-05,20,0,0
B2,gnn,milp,mean_planner_seconds,0.04557315083123588,0.6568587330983497,0.6112855822671138,0.4964409023923855,0.7414283077378059,4.999750012499375e-05,20,0,0
B2,gnn,qcast,completed_requests,13.7,12.25,1.45,0.35,2.5,0.024998750062496876,13,3,4
B2,gnn,qcast,mean_censored_latency_ps,616375004.5,675787504.4,59412499.9,22212499.825,97999999.75,0.007049647517624119,15,0,5
B2,gnn,qcast,mean_decision_seconds,0.23142435785599186,0.023584330715571665,-0.2078400271404202,-0.22065368142544423,-0.1951845849972285,4.999750012499375e-05,0,0,20
B2,gnn,qcast,p95_decision_seconds,0.41709508500644005,0.055790475010871886,-0.3613046099955682,-0.3879099849902559,-0.3328885550086852,4.999750012499375e-05,0,0,20
B2,gnn,qcast,mean_planner_seconds,0.04557315083123588,0.02327429188240785,-0.02229885894882803,-0.029587992635538934,-0.015562762854720597,9.99950002499875e-05,2,0,18
B2,gnn,qpass,completed_requests,13.7,13.1,0.6,-0.55,1.85,0.3950302484875756,7,7,6
B2,gnn,qpass,mean_censored_latency_ps,616375004.5,654962504.425,38587499.925,1550000.75,78937499.225,0.07299635018249087,11,0,9
B2,gnn,qpass,mean_decision_seconds,0.23142435785599186,0.04260862785491294,-0.18881573000107893,-0.20049086786207876,-0.17810244499872038,4.999750012499375e-05,0,0,20
B2,gnn,qpass,p95_decision_seconds,0.41709508500644005,0.09763776498148218,-0.31945732002495786,-0.35023708502412776,-0.28748357001459224,4.999750012499375e-05,0,0,20
B2,gnn,qpass,mean_planner_seconds,0.04557315083123588,0.041741551779809274,-0.0038315990514266084,-0.01188294274768504,0.003578544406419887,0.367931603419829,8,0,12
