request_id,arrival_time_ps,settlement_time_ps,success,latency_ps,attempt_count,last_candidate_id,last_failure_cause
r0,0,800000000,0,800000000,0,,
r1,0,800000000,0,800000000,0,,
r10,200000000,1000000000,0,800000000,0,,
r11,200000000,1000000000,0,800000000,3,r11:path:1:swap_tree_4,physical_failure
r12,200000000,1000000000,0,800000000,0,,
r13,200000000,1000000000,0,800000000,1,r13:path:2:swap_tree_0,physical_failure
r14,200000000,1000000000,0,800000000,0,,
r15,200000000,1000000000,0,800000000,0,,
r16,200000000,425000010,1,225000010,1,r16:path:2:swap_tree_0,
r17,200000000,1000000000,0,800000000,0,,
r18,200000000,1000000000,0,800000000,0,,
r19,200000000,1000000000,0,800000000,0,,
r2,0,230000010,1,230000010,1,r2:path:0:swap_tree_0,
r20,400000000,1030000010,1,630000010,3,r20:path:3:swap_tree_2,
r21,400000000,1200000000,0,800000000,3,r21:path:3:swap_tree_3,physical_failure
r22,400000000,1200000000,0,800000000,0,,
r23,400000000,1200000000,0,800000000,4,r23:path:1:swap_tree_1,physical_failure
r24,400000000,1200000000,0,800000000,1,r24:path:0:swap_tree_0,physical_failure
r25,400000000,1200000000,0,800000000,4,r25:path:3:swap_tree_4,physical_failure
r26,400000000,1030000010,1,630000010,3,r26:path:3:swap_tree_3,
r27,400000000,1200000000,0,800000000,3,r27:path:3:swap_tree_3,physical_failure
r28,400000000,1200000000,0,800000000,0,,
r29,400000000,580000010,1,180000010,1,r29:path:0:swap_tree_4,
r3,0,230000010,1,230000010,1,r3:path:0:swap_tree_2,
r30,600000000,965000000,1,365000000,2,r30:path:1:swap_tree_1,
r31,600000000,1400000000,0,800000000,0,,
r32,600000000,1400000000,0,800000000,1,r32:path:0:swap_tree_0,physical_failure
r33,600000000,830000010,1,230000010,1,r33:path:1:swap_tree_0,
r34,600000000,965000000,1,365000000,2,r34:path:1:swap_tree_0,
r35,600000000,1400000000,0,800000000,0,,
r36,600000000,1400000000,0,800000000,1,r36:path:1:swap_tree_4,physical_failure
r37,600000000,1365000000,1,765000000,3,r37:path:2:swap_tree_4,
r38,600000000,1400000000,0,800000000,1,r38:path:0:swap_tree_0,physical_failure
r39,600000000,1160000000,1,560000000,3,r39:path:3:swap_tree_0,
r4,0,800000000,0,800000000,4,r4:path:1:swap_tree_3,physical_failure
r5,0,800000000,0,800000000,0,,
r6,0,800000000,0,800000000,0,,
r7,0,800000000,0,800000000,0,,
r8,0,625000010,1,625000010,3,r8:path:2:swap_tree_0,
r9,0,800000000,0,800000000,1,r9:path:1:swap_tree_0,physical_failure
