0.09,4.6,0.0
0.19,11.6,0.0
0.29,18.2,0.0
0.39,17.9,0.0
0.49,18.0,0.0
0.59,18.2,0.0
0.69,18.9,0.0
0.79,18.6,0.0
0.89,18.6,0.0
0.99,18.9,0.0
1.09,18.7,0.0
1.19,18.6,0.0
1.29,18.2,0.0
1.39,18.1,0.0
1.49,18.7,0.0
1.59,18.3,0.0
1.69,18.1,0.0
1.79,18.3,0.0
1.89,17.5,0.0
1.99,18.3,0.0
2.089,18.9,0.0
2.189,18.3,0.0
2.289,18.6,0.0
2.389,18.1,0.0
2.489,18.9,0.0
2.589,18.5,0.0
2.689,18.6,0.0
2.789,19.2,0.0
2.889,18.6,0.0
2.989,18.8,0.0
3.089,18.8,0.0
3.189,17.9,0.0
3.289,18.5,0.0
3.389,19.1,0.0
3.489,18.1,0.0
3.589,18.5,0.0
3.689,18.6,0.0
3.789,18.5,0.0
3.889,18.8,0.0
3.989,18.8,0.0
4.089,18.1,0.0
4.189,18.7,0.0
4.289,19.3,0.0
4.389,18.7,0.0
4.489,18.8,0.0
4.589,18.7,0.0
4.689,18.8,0.0
4.789,18.5,0.0
4.889,19.3,0.0
4.989,18.6,0.0
5.089,18.3,0.0
5.189,18.4,0.0
5.289,19.3,0.0
5.389,18.3,0.0
5.489,19.0,0.0
5.589,19.0,0.0
5.689,19.0,0.0
5.789,18.7,0.0
5.889,19.7,0.0
5.989,19.0,0.0
6.089,19.4,0.0
6.189,19.3,0.0
6.289,18.9,0.0
6.389,18.9,0.0
6.489,19.1,0.0
6.589,19.2,0.0
6.689,19.0,0.0
6.789,18.8,0.0
6.889,19.0,0.0
6.989,19.2,0.0
7.089,18.9,0.0
7.189,19.2,0.0
7.289,18.9,0.0
7.389,19.3,0.0
7.489,18.9,0.0
7.589,19.7,0.0
7.689,19.0,0.0
7.789,19.4,0.0
7.889,19.2,0.0
7.989,19.2,0.0
8.089,19.4,0.0
8.189,19.3,0.0
8.289,19.3,0.0
8.389,19.1,0.0
8.489,19.2,0.0
8.589,18.7,0.0
8.689,18.9,0.0
8.789,19.1,0.0
8.889,19.0,0.0
8.989,19.2,0.0
9.089,18.9,0.0
9.189,19.2,0.0
9.289,18.8,0.0
9.389,19.5,0.0
9.489,18.3,0.0
9.589,19.4,0.0
9.689,18.5,0.0
9.789,19.7,0.0
9.889,18.6,0.0
9.989,19.3,0.0
10.089,18.0,0.7
10.189,16.4,3.1
10.289,12.2,7.2
10.389,11.4,7.9
10.489,13.4,6.2
10.589,12.7,6.5
10.689,11.7,8.0
10.789,12.0,7.5
10.889,11.9,7.9
10.989,11.7,8.1
11.089,11.8,7.6
11.189,11.8,8.0
11.289,11.7,7.8
11.389,11.6,8.0
11.489,13.3,6.6
11.589,12.4,7.4
11.689,11.2,8.6
11.789,13.5,6.3
11.889,12.0,7.8
11.989,12.5,7.3
12.089,13.6,5.8
12.189,10.3,9.5
12.289,13.8,5.8
12.389,11.8,7.7
12.489,12.1,7.8
12.589,13.5,6.1
12.689,11.9,7.8
12.789,12.9,6.7
12.889,13.0,6.5
12.989,13.8,6.0
13.089,11.8,7.6
13.189,12.7,7.2
13.289,11.2,8.7
13.389,12.5,7.3
13.489,12.2,7.4
13.589,12.4,7.4
13.689,12.4,7.2
13.789,12.3,7.4
13.889,12.1,7.6
13.989,11.6,8.1
14.089,11.4,8.2
14.189,11.5,8.1
14.289,12.9,6.6
14.389,10.6,9.2
14.489,13.6,6.0
14.589,10.6,8.8
14.689,15.3,4.5
14.789,12.5,7.3
14.889,10.8,9.1
14.989,11.6,8.3
15.089,12.8,6.6
15.189,13.0,6.8
15.289,13.3,6.3
15.389,12.6,7.0
15.489,12.2,7.5
15.589,14.0,5.4
15.689,13.8,6.0
15.789,11.9,7.6
15.889,12.0,7.4
15.989,10.9,8.7
16.089,12.8,6.8
16.189,12.9,6.9
16.289,11.5,7.9
16.389,12.6,7.2
16.489,11.9,7.5
16.589,11.5,8.4
16.689,12.7,7.2
16.789,11.9,7.7
16.889,11.3,8.6
16.989,13.7,6.0
17.089,11.9,7.9
17.189,11.3,8.7
17.289,13.9,5.5
17.389,12.2,7.8
17.489,13.1,6.7
17.589,12.3,7.6
17.689,12.9,6.8
17.789,12.8,6.9
17.889,12.2,7.4
17.99,12.1,7.7
18.09,10.6,9.1
18.19,11.2,8.5
18.29,11.3,8.6
18.39,10.8,9.1
18.49,11.8,7.7
18.59,12.6,7.2
18.69,13.2,6.7
18.79,11.8,7.8
18.89,11.7,8.1
18.99,11.9,8.1
19.09,11.9,7.8
19.19,11.4,8.3
19.29,13.2,6.6
19.39,11.3,8.4
19.49,12.9,6.7
19.59,12.3,7.1
19.69,13.0,6.9
19.79,9.7,9.9
19.89,11.4,8.3
19.99,10.7,9.0
20.09,12.5,7.2
