case,reference,baseline,metric,reference_mean,baseline_mean,reference_advantage_mean,ci95_low,ci95_high,paired_randomization_p,reference_wins,ties,baseline_wins
low50,gnn,greedy,completed_requests,31.8,29.5,2.3,-0.05,4.6,0.07894605269736513,14,0,6
low50,gnn,greedy,mean_censored_latency_ps,894110005.1700001,970290004.96,76179999.78999999,23535000.479999967,126754999.49999997,0.01134943252837358,14,0,6
low50,gnn,greedy,mean_decision_seconds,0.28967511076748803,0.054863658461433186,-0.23481145230605485,-0.24508698307909071,-0.22471966922838385,4.999750012499375e-05,0,0,20
low50,gnn,greedy,p95_decision_seconds,0.42868464000639506,0.07382696999702602,-0.354857670009369,-0.37223193498211915,-0.33868921002722346,4.999750012499375e-05,0,0,20
low50,gnn,greedy,mean_planner_seconds,0.059869892888542754,0.05369523692195519,-0.006174655966587568,-0.01108496019065243,-0.0012369261517261084,0.025298735063246838,6,0,14
low50,gnn,qcast,completed_requests,31.8,28.15,3.65,1.2,6.1,0.011799410029498525,15,0,5
low50,gnn,qcast,mean_censored_latency_ps,894110005.1700001,968940004.7299999,74829999.55999997,11264999.909999978,140374999.01,0.03399830008499575,14,0,6
low50,gnn,qcast,mean_decision_seconds,0.28967511076748803,0.029231863844548713,-0.2604432469229393,-0.2704072515484698,-0.250450416152867,4.999750012499375e-05,0,0,20
low50,gnn,qcast,p95_decision_seconds,0.42868464000639506,0.03929685999173671,-0.38938778001465835,-0.40714155001332986,-0.3724517100083176,4.999750012499375e-05,0,0,20
low50,gnn,qcast,mean_planner_seconds,0.059869892888542754,0.028458320033342505,-0.03141157285520025,-0.03612302391907761,-0.026750756576336403,4.999750012499375e-05,0,0,20
low50,gnn,qpass,completed_requests,31.8,29.35,2.45,0.75,4.3,0.014649267536623168,13,3,4
low50,gnn,qpass,mean_censored_latency_ps,894110005.1700001,973405005.0,79294999.82999998,32140000.349999987,128739999.34,0.005649717514124294,16,0,4
low50,gnn,qpass,mean_decision_seconds,0.28967511076748803,0.053762120381893166,-0.23591299038559485,-0.2455182565483623,-0.22619053461418775,4.999750012499375e-05,0,0,20
low50,gnn,qpass,p95_decision_seconds,0.42868464000639506,0.07458931499859318,-0.3540953250078019,-0.37062343999859876,-0.3381586100207642,4.999750012499375e-05,0,0,20
low50,gnn,qpass,mean_planner_seconds,0.059869892888542754,0.052803471729828,-0.007066421158714757,-0.011282488277058104,-0.002402255776150224,0.006199690015499225,1,0,19
medium100,gnn,greedy,completed_requests,50.65,43.55,7.1,4.75,9.5,9.99950002499875e-05,17,1,2
medium100,gnn,greedy,mean_censored_latency_ps,1069332504.725,1176572504.06,107239999.335,73489999.66499999,141879999.36499995,9.99950002499875e-05,19,0,1
medium100,gnn,greedy,mean_decision_seconds,0.6293352834643045,0.1262347384615658,-0.5031005450027386,-0.5183901461580087,-0.4877182523128935,4.999750012499375e-05,0,0,20
medium100,gnn,greedy,p95_decision_seconds,0.8993745249987114,0.20944051497499458,-0.6899340100237168,-0.7158721800369676,-0.6618245200370438,4.999750012499375e-05,0,0,20
medium100,gnn,greedy,mean_planner_seconds,0.13883832960899992,0.12443370115226851,-0.0144046284567314,-0.024887984611380563,-0.004320635761205964,0.015949202539873007,7,0,13
medium100,gnn,qcast,completed_requests,50.65,40.25,10.4,8.7,12.0,4.999750012499375e-05,20,0,0
medium100,gnn,qcast,mean_censored_latency_ps,1069332504.725,1189635003.665,120302498.93999998,90692499.17499998,148202498.745,4.999750012499375e-05,19,0,1
medium100,gnn,qcast,mean_decision_seconds,0.6293352834643045,0.06474047038668337,-0.564594813077621,-0.5810859426873951,-0.5481895180651918,4.999750012499375e-05,0,0,20
medium100,gnn,qcast,p95_decision_seconds,0.8993745249987114,0.12194961498607881,-0.7774249100126326,-0.8072926250169985,-0.7475818600156344,4.999750012499375e-05,0,0,20
medium100,gnn,qcast,mean_planner_seconds,0.13883832960899992,0.06330484779057607,-0.07553348181842384,-0.08636701490158419,-0.06557439296836189,4.999750012499375e-05,0,0,20
