request_id,arrival_time_ps,settlement_time_ps,success,latency_ps,attempt_count,last_candidate_id,last_failure_cause
r0,0,800000000,0,800000000,2,r0:path:2:swap_tree_3,physical_failure
r1,0,800000000,0,800000000,2,r1:path:0:swap_tree_1,physical_failure
r10,200000000,1000000000,0,800000000,2,r10:path:0:swap_tree_2,physical_failure
r11,200000000,380000010,1,180000010,1,r11:path:1:swap_tree_1,
r12,200000000,730000010,1,530000010,2,r12:path:2:swap_tree_1,
r13,200000000,530000010,1,330000010,1,r13:path:1:swap_tree_1,
r14,200000000,680000010,1,480000010,2,r14:path:0:swap_tree_2,
r15,200000000,1000000000,0,800000000,3,r15:path:1:swap_tree_4,physical_failure
r16,200000000,1000000000,0,800000000,1,r16:path:0:swap_tree_1,physical_failure
r17,200000000,730000010,1,530000010,2,r17:path:1:swap_tree_0,
r18,200000000,1000000000,0,800000000,1,r18:path:0:swap_tree_0,physical_failure
r19,200000000,1000000000,0,800000000,3,r19:path:1:swap_tree_3,physical_failure
r2,0,800000000,0,800000000,1,r2:path:0:swap_tree_1,physical_failure
r20,400000000,1160000000,1,760000000,3,r20:path:0:swap_tree_0,
r21,400000000,930000010,1,530000010,2,r21:path:0:swap_tree_4,
r22,400000000,1200000000,0,800000000,2,r22:path:0:swap_tree_3,physical_failure
r23,400000000,1200000000,0,800000000,3,r23:path:0:swap_tree_0,physical_failure
r24,400000000,1200000000,0,800000000,4,r24:path:2:swap_tree_0,physical_failure
r25,400000000,830000010,1,430000010,2,r25:path:0:swap_tree_1,
r26,400000000,680000010,1,280000010,1,r26:path:0:swap_tree_4,
r27,400000000,630000010,1,230000010,1,r27:path:0:swap_tree_2,
r28,400000000,1200000000,0,800000000,2,r28:path:0:swap_tree_3,physical_failure
r29,400000000,1200000000,0,800000000,2,r29:path:0:swap_tree_4,physical_failure
r3,0,800000000,0,800000000,2,r3:path:1:swap_tree_3,physical_failure
r30,600000000,1265000000,1,665000000,2,r30:path:1:swap_tree_2,
r31,600000000,1400000000,0,800000000,4,r31:path:0:swap_tree_4,physical_failure
r32,600000000,1130000010,1,530000010,1,r32:path:0:swap_tree_1,
r33,600000000,1265000000,1,665000000,3,r33:path:1:swap_tree_2,
r34,600000000,1400000000,0,800000000,3,r34:path:0:swap_tree_1,physical_failure
r35,600000000,1400000000,0,800000000,3,r35:path:0:swap_tree_4,physical_failure
r36,600000000,1400000000,0,800000000,4,r36:path:1:swap_tree_4,physical_failure
r37,600000000,1400000000,0,800000000,3,r37:path:0:swap_tree_2,physical_failure
r38,600000000,780000010,1,180000010,1,r38:path:0:swap_tree_4,
r39,600000000,1400000000,0,800000000,4,r39:path:0:swap_tree_4,physical_failure
r4,0,230000010,1,230000010,1,r4:path:1:swap_tree_1,
r5,0,180000010,1,180000010,1,r5:path:0:swap_tree_1,
r6,0,800000000,0,800000000,1,r6:path:0:swap_tree_0,physical_failure
r7,0,800000000,0,800000000,2,r7:path:0:swap_tree_1,physical_failure
r8,0,800000000,0,800000000,3,r8:path:1:swap_tree_1,physical_failure
r9,0,180000010,1,180000010,1,r9:path:1:swap_tree_0,
